timestamp,heart_rate,spo2,breathing_rate,gsr,temperature,dehydration_index,posture,fall_detected,steps
66,120.6,95.8,23.4,13.50,37.6,4.9,Walking,false,62
67,159.4,97.6,28.3,15.51,37.5,5.4,Running,false,63
68,108.5,94.2,34.3,10.81,38.7,4.7,Running,false,65
69,140.6,95.2,23.8,16.39,38.6,4.2,Walking,false,65
70,156.9,94.7,20.4,11.00,38.0,4.5,Walking,false,65
71,152.1,98.3,22.9,16.05,38.5,7.9,Walking,false,65
72,125.7,98.5,34.3,16.00,38.3,4.6,Running,false,67
73,130.0,96.5,29.1,18.47,38.5,4.6,Running,false,69
74,125.2,98.3,27.7,19.36,38.5,4.2,Walking,false,71
75,159.9,98.9,27.2,14.35,37.8,4.0,Running,false,72
76,107.0,95.2,26.2,17.16,38.2,5.4,Walking,false,74
77,103.0,94.4,24.8,14.50,38.8,4.6,Running,false,74
78,136.6,96.2,34.3,10.29,38.2,4.7,Running,false,76
79,141.6,98.8,27.5,15.38,38.6,7.5,Walking,false,78
80,130.7,98.5,21.5,18.58,38.8,4.1,Running,false,79
81,123.1,95.9,26.3,17.87,37.5,7.0,Walking,false,79
82,159.2,97.4,25.9,17.36,38.9,6.0,Running,false,80
83,106.6,97.6,34.2,10.31,38.5,7.1,Running,false,80
84,115.6,97.5,33.0,10.31,37.6,7.2,Walking,false,80
85,141.2,95.0,23.6,19.99,37.7,7.7,Walking,false,82
86,108.7,94.9,33.6,10.25,37.5,5.3,Walking,false,84
87,141.3,97.2,34.7,16.48,38.8,5.6,Walking,false,84
88,106.0,95.4,27.4,16.48,37.7,5.1,Running,false,86
89,100.6,95.8,22.8,13.41,37.8,7.8,Walking,false,86
90,130.3,98.3,27.2,17.06,38.7,6.5,Walking,false,87
91,109.7,95.4,33.9,14.94,38.8,6.6,Walking,false,87
92,118.8,94.1,25.8,14.90,38.8,6.5,Walking,false,88
93,150.1,94.2,20.7,14.93,38.9,7.2,Walking,false,89
94,134.3,98.3,27.0,10.41,38.4,7.5,Walking,false,90
95,147.2,95.3,27.4,18.97,38.2,7.6,Walking,false,91
96,131.2,97.5,32.4,15.10,38.0,6.4,Running,false,92
97,105.5,95.1,29.9,12.19,37.9,4.1,Running,false,94
98,142.5,98.9,23.0,14.48,38.3,5.5,Walking,false,96
99,124.1,95.5,28.0,18.36,38.5,8.0,Walking,false,97
100,135.3,94.3,26.4,16.36,37.8,6.2,Running,false,98
101,145.6,98.0,24.4,14.18,37.8,7.3,Walking,false,98
102,103.5,98.0,29.3,10.32,38.9,4.5,Walking,false,100
103,145.3,96.9,31.3,12.37,38.8,7.1,Walking,false,102
104,120.9,95.3,20.5,10.74,38.5,4.3,Running,false,104
105,127.0,96.8,30.4,15.92,39.0,4.1,Running,false,106
106,147.0,96.5,26.6,17.11,38.5,4.2,Running,false,106
107,134.2,96.9,28.7,13.07,37.7,5.2,Walking,false,108
108,102.4,96.0,24.7,12.41,37.7,4.7,Running,false,109
109,124.5,94.0,26.6,18.80,37.9,5.8,Walking,false,109
110,114.8,95.8,34.3,10.76,38.0,5.7,Walking,false,110
111,102.8,97.7,30.4,17.42,37.8,6.4,Running,false,110
112,103.6,98.5,22.1,12.51,37.7,6.4,Running,false,112
113,129.3,95.3,28.0,15.74,37.8,5.7,Running,false,112
114,122.9,96.6,33.0,12.46,37.6,6.8,Running,false,112
115,113.9,95.0,31.8,15.07,38.8,4.6,Walking,false,113
116,156.6,94.4,26.6,16.19,38.3,5.5,Walking,false,115
117,103.8,95.3,21.7,13.33,38.1,4.0,Walking,false,116
118,144.2,95.9,31.0,14.72,37.9,6.3,Walking,false,117
119,141.1,95.3,29.7,19.71,38.7,5.2,Walking,false,118
120,107.8,98.2,29.5,14.31,38.1,5.4,Running,false,118
121,117.5,94.7,29.0,17.60,38.5,5.9,Walking,false,120
122,135.2,98.8,31.4,17.24,38.7,6.4,Walking,false,121
123,122.6,98.0,25.2,14.15,38.7,5.1,Running,false,123
124,140.8,96.5,26.6,18.42,38.7,4.6,Walking,false,123
125,108.5,98.3,34.0,18.09,38.6,5.2,Walking,false,124
126,105.2,94.8,27.5,17.46,37.8,4.1,Running,false,125
127,115.3,96.4,32.1,17.68,38.7,6.4,Walking,false,127
128,141.4,98.0,22.8,11.02,38.7,7.9,Running,false,129
129,116.3,94.3,21.6,17.98,38.4,5.4,Running,false,130
130,152.5,97.7,28.8,17.84,38.3,7.8,Running,false,131
131,157.0,97.2,22.7,11.40,37.9,6.7,Walking,false,131
132,113.7,94.6,32.2,11.78,38.7,4.6,Walking,false,133
133,105.5,95.8,34.3,11.56,38.8,7.4,Running,false,134
134,158.4,94.6,22.5,12.31,38.6,7.1,Walking,false,136
135,121.1,96.0,23.4,14.97,37.9,4.8,Walking,false,136
136,122.6,95.6,33.4,13.16,38.3,7.0,Running,false,138
137,141.6,98.8,25.8,18.44,37.8,4.4,Walking,false,138
138,139.6,95.6,30.1,15.24,37.7,6.3,Running,false,139
139,156.1,94.8,29.5,19.78,37.7,5.5,Running,false,139
140,102.0,96.8,21.2,16.42,37.7,4.4,Running,false,141
141,152.2,95.6,24.5,10.07,37.9,5.5,Running,false,141
142,150.2,98.9,28.7,14.18,37.5,4.7,Walking,false,141
143,131.1,94.2,28.0,11.30,38.5,6.5,Walking,false,142
144,155.4,98.1,26.8,18.19,37.9,7.9,Walking,false,143
145,154.0,96.2,20.3,13.52,38.5,4.8,Running,false,145
146,148.1,98.7,25.0,13.02,37.6,6.2,Running,false,145
147,156.9,96.3,30.7,13.39,38.9,5.9,Running,false,147
148,127.2,96.6,21.0,12.67,37.9,7.9,Walking,false,149
149,124.4,94.5,21.1,11.83,38.6,5.6,Walking,false,149
150,118.0,94.3,26.3,15.71,38.5,4.8,Walking,false,151
151,149.1,96.3,29.1,15.83,37.8,7.6,Walking,false,152
152,144.5,97.1,22.2,17.14,37.9,7.9,Walking,false,153
153,156.0,95.8,32.7,10.19,37.8,4.3,Running,false,154
154,118.0,94.2,32.2,10.03,38.3,5.4,Running,false,156
155,149.5,98.5,23.1,17.09,38.4,4.3,Running,false,158
156,105.6,98.4,22.0,12.11,37.6,5.3,Running,false,159
157,111.6,95.4,20.3,13.24,38.5,4.4,Running,false,159
158,145.4,98.4,30.7,13.53,38.2,7.1,Running,false,159
159,125.8,98.8,30.4,19.40,38.9,6.7,Walking,false,160
160,107.3,94.5,33.6,16.24,38.9,7.6,Walking,false,162
161,107.4,98.9,29.0,14.45,38.3,4.4,Running,false,163
162,102.5,97.2,28.1,10.55,38.3,6.1,Walking,false,164
163,137.0,96.1,28.5,13.97,38.5,7.9,Running,false,164
164,109.4,96.4,26.5,12.45,37.9,4.6,Walking,false,164
165,106.0,94.2,25.8,14.83,37.8,4.4,Running,false,165
166,141.2,94.2,27.5,11.54,38.7,4.0,Running,false,166
167,114.8,95.4,25.1,11.30,38.2,5.9,Running,false,167
168,131.0,98.9,26.1,11.11,38.1,5.1,Running,false,168
169,125.2,95.5,31.8,11.69,37.5,6.4,Running,false,168
170,111.2,94.6,33.7,19.99,38.4,4.8,Walking,false,168
171,148.9,98.5,34.9,16.46,37.8,4.5,Running,false,169
172,155.2,94.8,26.4,10.55,38.1,5.9,Running,false,171
173,152.6,95.2,33.8,18.38,38.4,4.6,Running,false,173
174,137.2,94.5,29.2,19.26,38.3,5.9,Walking,false,174
175,135.4,97.3,27.7,13.23,37.6,5.8,Walking,false,175
176,133.9,95.3,28.9,14.82,38.2,5.9,Running,false,176
177,125.9,95.2,28.2,13.51,38.5,5.8,Walking,false,178
178,131.5,98.9,34.5,14.77,37.7,7.6,Walking,false,179
179,103.0,98.3,21.0,15.64,38.7,5.9,Running,false,179
180,116.6,96.9,25.4,11.02,37.9,6.9,Walking,false,179
181,148.7,96.8,27.7,15.37,38.7,6.5,Running,false,180
182,137.9,97.1,27.3,14.27,38.8,4.5,Walking,false,180
183,133.9,96.3,24.3,19.03,37.6,4.2,Running,false,182
184,141.9,94.6,25.5,19.14,38.9,7.4,Walking,false,183
185,128.2,95.2,22.8,14.91,38.3,5.5,Walking,false,183
186,129.6,98.2,25.6,18.24,38.1,7.2,Running,false,183
187,147.0,98.5,21.7,15.13,37.8,6.5,Running,false,184
188,123.3,94.7,30.8,19.86,38.6,7.1,Running,false,185
189,157.4,97.0,22.4,17.38,38.1,5.7,Running,false,185
190,133.1,98.2,24.9,19.89,38.8,5.4,Walking,false,185
191,152.2,94.2,20.2,10.91,38.7,5.2,Running,false,185
192,142.7,96.4,24.7,16.44,38.2,4.6,Walking,false,185
193,104.3,96.2,34.2,13.93,37.5,6.7,Running,false,186
194,157.0,97.8,21.7,15.85,38.5,7.5,Running,false,187
195,132.2,96.6,24.2,19.98,38.4,6.8,Running,false,189
196,103.9,94.2,23.4,10.63,38.7,4.9,Running,false,189
197,109.2,97.9,26.4,17.23,37.6,4.4,Walking,false,189
198,118.0,95.9,25.4,15.70,38.7,5.4,Running,false,189
199,115.1,97.5,34.2,12.72,38.6,6.6,Running,false,190
200,123.2,98.4,20.8,15.58,37.8,5.9,Walking,false,192
201,132.4,97.6,26.2,16.34,38.5,7.0,Running,false,194
202,140.5,96.9,20.9,12.68,37.8,6.8,Walking,false,195
203,150.6,98.8,33.7,18.28,38.7,5.4,Walking,false,195
204,120.2,97.9,29.4,15.03,38.2,4.1,Running,false,197
205,109.7,94.2,20.3,16.58,38.9,7.1,Running,false,198
206,113.3,95.6,30.3,10.05,38.6,5.4,Running,false,199
207,109.8,97.8,21.4,18.53,39.0,4.2,Running,false,199
208,102.1,94.7,31.2,16.05,37.9,5.8,Walking,false,200
209,138.9,97.6,31.8,13.04,38.8,6.0,Walking,false,202
210,148.9,96.8,34.5,13.17,38.1,7.1,Walking,false,202
211,125.8,95.3,31.9,16.43,38.0,7.4,Running,false,204
212,115.2,95.2,24.4,17.06,37.8,4.3,Running,false,205
213,158.7,94.0,33.7,15.29,38.9,7.0,Walking,false,206
214,124.0,95.2,22.7,12.81,37.7,5.1,Running,false,207
215,115.7,94.3,27.4,10.99,38.9,5.7,Walking,false,207
216,111.1,97.6,27.1,11.28,38.5,6.1,Running,false,209
217,117.3,97.8,25.7,11.46,38.4,5.3,Walking,false,211
218,109.1,97.4,32.7,17.46,38.1,5.5,Walking,false,213
219,146.0,98.6,25.4,15.76,37.7,7.9,Walking,false,215
220,118.0,94.5,34.2,12.96,38.4,4.5,Walking,false,216
221,108.1,97.7,20.1,14.62,38.5,7.1,Running,false,217
222,112.8,98.2,32.8,11.09,38.8,7.2,Running,false,219
223,123.8,97.6,32.6,15.60,37.5,6.1,Running,false,220
224,134.6,97.4,29.7,11.17,38.8,6.0,Running,false,220
225,107.0,95.7,30.0,10.49,37.7,6.2,Running,false,220
226,103.4,98.6,20.4,19.97,38.3,5.5,Walking,false,220
227,124.6,96.5,30.2,18.98,38.0,4.1,Running,false,221
228,123.4,98.5,30.1,10.49,37.8,6.6,Running,false,221
229,135.2,94.7,34.4,16.79,38.3,5.6,Running,false,222
230,114.9,98.2,34.8,11.40,37.7,6.7,Running,false,223
231,105.7,98.0,32.6,15.25,38.5,7.4,Walking,false,224
232,126.8,95.7,31.4,10.70,38.3,5.8,Walking,false,226
233,120.3,94.1,26.8,13.12,38.8,7.9,Walking,false,226
234,127.6,98.2,20.3,14.64,37.7,5.6,Running,false,226
235,148.4,98.3,24.9,18.23,38.8,6.2,Running,false,228
236,141.0,97.3,20.5,17.51,38.2,7.1,Walking,false,229
237,128.1,95.1,30.6,13.01,37.9,6.5,Walking,false,229
238,120.1,98.4,30.3,15.16,37.9,4.9,Walking,false,231
239,127.1,97.2,21.7,15.48,37.8,5.8,Walking,false,231
240,142.6,95.6,23.8,11.60,37.7,4.7,Running,false,233
241,121.3,97.0,31.2,18.20,38.6,6.4,Walking,false,235
242,145.1,96.2,23.6,17.13,38.4,6.2,Running,false,236
243,149.1,97.9,24.2,13.39,38.0,6.6,Walking,false,236
244,136.5,96.9,21.6,18.18,38.4,7.8,Walking,false,236
245,138.6,94.6,23.0,10.86,38.1,5.3,Running,false,236
246,144.6,95.7,29.7,11.33,38.0,5.4,Running,false,238
247,124.8,97.8,25.3,11.60,37.6,7.3,Walking,false,240
248,140.7,95.2,20.6,10.89,37.6,5.7,Running,false,241
249,127.4,94.1,25.5,16.84,38.6,6.1,Walking,false,243
250,135.3,97.2,23.5,12.08,38.5,5.6,Running,false,243
251,156.4,97.9,26.9,18.83,37.7,4.9,Walking,false,245
252,143.8,96.4,34.2,18.92,37.8,7.4,Walking,false,247
253,151.0,94.1,30.1,12.29,37.7,5.0,Running,false,248
254,149.0,96.0,30.0,15.99,38.9,7.9,Running,false,249
255,113.5,97.8,31.5,11.51,37.8,7.7,Walking,false,251
256,105.0,99.0,21.0,19.33,38.2,7.8,Walking,false,253
257,105.7,96.8,31.9,14.12,38.2,7.4,Running,false,253
258,127.7,98.3,33.9,11.38,37.7,7.2,Running,false,255
259,150.6,94.4,33.3,18.67,37.6,5.0,Walking,false,256
260,105.2,94.1,24.9,19.21,38.3,7.5,Walking,false,256
261,141.3,97.4,20.5,14.81,38.0,6.7,Walking,false,257
262,143.2,94.4,24.1,13.64,38.8,7.6,Running,false,258
263,123.0,94.8,21.9,11.12,38.9,4.4,Running,false,258
264,139.0,97.7,23.8,18.41,37.9,7.0,Running,false,260
265,128.5,98.6,27.8,10.12,38.6,5.2,Running,false,260
266,151.7,96.2,24.1,17.39,38.1,4.0,Walking,false,261
267,134.9,96.5,25.1,12.93,37.6,7.5,Running,false,261
268,134.5,95.9,24.0,13.25,38.0,5.5,Running,false,263
269,119.1,97.2,22.3,16.01,37.9,5.7,Walking,false,263
270,130.5,96.2,30.5,14.71,38.3,7.0,Walking,false,264
271,119.9,98.3,29.5,12.79,38.7,7.7,Walking,false,265
272,128.9,98.0,32.8,15.99,38.8,6.7,Running,false,267
273,142.5,96.6,22.3,19.19,37.7,6.3,Running,false,268
274,135.0,96.4,23.9,11.08,38.1,6.4,Walking,false,269
275,108.0,96.0,24.3,11.45,37.6,4.2,Walking,false,270
276,140.7,97.8,31.7,10.53,37.6,5.1,Running,false,270
277,141.3,94.0,34.1,19.90,38.4,5.1,Running,false,270
278,138.8,95.3,28.8,19.55,38.8,7.7,Running,false,272
279,102.5,98.0,31.3,10.62,38.5,7.9,Walking,false,273
280,101.7,95.1,28.7,15.96,38.6,7.8,Walking,false,273
281,113.2,96.7,27.4,19.95,37.5,7.4,Walking,false,274
282,143.8,94.5,32.0,17.64,38.8,6.5,Running,false,274
283,143.0,94.7,25.8,11.36,38.4,5.4,Running,false,275
284,107.5,97.3,32.8,11.92,38.5,6.1,Walking,false,277
285,155.5,94.9,33.4,10.50,38.9,5.5,Running,false,277
286,104.6,98.0,30.9,16.50,37.9,7.3,Running,false,277
287,138.3,94.8,30.4,10.27,38.1,7.7,Running,false,277
288,109.7,95.5,25.0,15.98,37.9,4.4,Running,false,278
289,119.9,97.1,27.9,11.58,38.9,5.9,Walking,false,278
290,131.0,94.2,31.6,13.91,38.8,7.9,Walking,false,278
291,112.2,94.3,31.8,12.55,38.5,4.1,Walking,false,279
292,127.2,96.5,26.8,12.91,38.6,5.0,Running,false,281
293,138.8,95.1,25.9,11.28,37.8,4.8,Running,false,281
294,112.8,96.6,20.7,13.80,38.4,4.2,Walking,false,281
295,124.7,95.3,22.9,11.55,39.0,5.8,Walking,false,281
296,101.1,98.6,29.5,13.58,38.7,6.5,Running,false,283
297,158.7,95.9,21.1,15.45,38.5,7.2,Walking,false,283
298,122.6,94.1,30.7,14.80,38.8,4.3,Running,false,285
299,147.3,95.4,34.5,16.97,37.8,5.7,Running,false,287
300,144.2,97.6,31.1,10.51,38.5,7.9,Running,false,289
301,113.7,95.8,20.0,15.46,38.8,6.2,Running,false,291
302,116.3,94.9,27.2,18.20,37.6,6.4,Walking,false,292
303,125.0,96.5,27.7,16.69,38.1,4.9,Walking,false,293
304,104.7,95.3,21.4,11.17,37.9,7.1,Running,false,295
305,118.6,97.3,20.3,10.02,37.8,5.8,Running,false,296
306,130.4,94.1,28.2,17.28,38.9,5.4,Walking,false,296
307,134.5,94.3,33.3,15.62,38.8,7.7,Running,false,296
308,115.9,97.8,27.9,15.20,37.8,4.5,Running,false,297
309,110.6,96.1,23.4,13.00,38.3,6.7,Walking,false,299
310,151.1,94.8,28.2,10.44,38.5,6.8,Walking,false,301
311,149.2,98.2,20.3,17.90,38.9,6.6,Walking,false,303
312,134.4,95.2,29.2,14.40,38.8,7.7,Running,false,303
313,113.6,97.5,25.0,13.85,37.8,5.5,Walking,false,303
314,106.7,96.5,22.7,13.10,37.5,6.0,Walking,false,303
315,157.9,96.2,27.8,10.65,37.9,6.5,Running,false,303
316,107.2,98.5,28.4,16.18,38.8,5.1,Running,false,303
317,155.8,96.1,21.3,11.10,38.2,5.9,Running,false,303
318,159.5,95.4,28.5,13.55,37.7,7.4,Walking,false,303
319,122.2,97.9,26.7,14.37,38.8,4.4,Running,false,303
320,102.0,97.5,31.2,12.60,38.3,5.4,Running,false,305
321,139.6,97.9,25.4,13.23,37.8,5.8,Walking,false,306
322,122.3,95.4,23.6,17.39,38.3,6.4,Walking,false,306
323,129.5,96.5,33.4,16.69,38.4,5.2,Walking,false,306
324,101.5,96.8,20.9,15.45,37.8,7.2,Running,false,306
325,109.5,96.7,25.2,13.27,38.8,7.5,Walking,false,306
326,156.6,98.5,24.2,11.19,38.1,5.2,Running,false,307
327,110.6,94.3,25.3,16.68,38.9,4.6,Walking,false,309
328,108.8,95.8,32.9,17.68,38.9,8.0,Running,false,311
329,113.1,96.2,31.5,19.50,37.8,7.4,Running,false,313
330,112.1,96.7,28.8,17.69,38.9,4.2,Running,false,314
331,157.1,98.3,32.9,18.30,38.6,6.4,Walking,false,315
332,140.9,95.1,28.3,16.32,38.3,7.0,Walking,false,316
333,152.0,97.9,34.5,15.11,37.5,7.1,Walking,false,318
334,118.5,94.5,34.9,15.14,38.1,7.0,Running,false,318
335,111.9,95.5,32.8,10.11,37.9,6.3,Walking,false,320
336,158.2,97.0,27.6,14.43,38.7,4.6,Running,false,320
337,156.1,95.5,29.2,16.82,38.7,7.0,Walking,false,322
338,151.4,94.8,24.0,17.61,38.8,4.5,Running,false,324
339,131.7,94.9,24.3,19.61,38.4,5.2,Running,false,324
340,136.4,96.3,30.1,15.08,37.5,5.9,Running,false,326
341,138.5,97.4,24.3,16.13,38.6,5.6,Running,false,328
342,153.9,97.0,31.1,15.90,37.9,7.0,Walking,false,329
343,149.7,96.1,32.0,13.82,37.9,7.2,Walking,false,331
344,141.2,95.2,33.0,18.54,38.8,5.3,Running,false,333
345,136.3,96.6,31.0,13.30,38.9,6.0,Walking,false,333
346,121.6,98.2,34.3,10.52,38.0,5.8,Running,false,334
347,152.6,94.5,27.7,14.24,38.9,6.0,Running,false,335
348,118.1,96.4,26.8,18.29,37.9,7.8,Running,false,337
349,116.2,97.6,25.4,10.16,38.7,4.5,Running,false,337
350,128.5,98.0,24.3,17.05,37.7,7.2,Walking,false,339
351,155.1,94.9,23.6,11.23,38.1,4.0,Running,false,341
352,159.5,96.9,23.6,12.96,37.6,5.3,Walking,false,342
353,112.9,94.8,34.9,14.76,38.9,5.3,Walking,false,343
354,118.8,94.7,22.6,11.26,38.9,7.4,Running,false,344
355,154.3,98.2,26.5,12.23,38.6,7.9,Running,false,345
356,128.2,94.1,31.5,18.52,37.6,5.3,Walking,false,346
357,138.8,94.5,23.4,19.86,38.0,7.3,Running,false,347
358,151.8,96.1,21.2,17.57,38.2,5.9,Walking,false,347
359,155.1,94.6,28.6,10.49,39.0,4.5,Running,false,349
360,135.6,95.2,30.4,11.45,37.6,5.2,Running,false,351
361,108.1,98.0,20.7,14.64,38.2,5.1,Running,false,351
362,100.7,95.4,26.0,12.07,38.7,6.3,Walking,false,352
363,144.4,94.9,23.2,11.29,38.1,5.2,Running,false,352
364,113.3,94.3,33.0,14.15,37.7,6.6,Running,false,353
365,138.9,97.9,23.6,18.12,39.0,5.3,Running,false,354
366,123.8,98.5,21.5,11.33,37.8,5.6,Walking,false,354
367,105.9,96.2,24.3,12.40,38.1,5.1,Walking,false,356
368,152.5,98.3,20.1,19.88,37.9,5.2,Walking,false,358
369,128.8,94.3,26.2,10.54,38.8,7.6,Running,false,358
370,155.0,94.4,28.3,13.81,37.8,5.8,Walking,false,358
371,116.9,95.1,27.4,19.16,37.9,7.5,Walking,false,358
372,123.1,95.4,21.6,14.30,38.0,7.9,Running,false,358
373,106.5,97.7,26.8,13.86,37.7,6.1,Walking,false,360
374,126.4,99.0,20.7,14.32,37.9,6.1,Running,false,362
375,125.4,98.1,22.7,13.36,38.6,7.7,Running,false,362
376,116.1,96.2,27.5,13.37,38.4,7.6,Running,false,363
377,100.2,95.9,32.6,12.84,37.9,5.0,Running,false,364
378,156.0,94.4,22.7,15.07,38.2,4.4,Walking,false,364
379,108.2,96.5,25.6,10.94,38.9,4.6,Walking,false,364
380,115.5,94.3,28.3,17.71,38.8,5.6,Running,false,366
381,149.6,94.5,20.2,10.48,38.8,7.7,Walking,false,368
382,155.3,98.7,21.9,14.81,38.2,5.3,Walking,false,370
383,108.6,94.5,33.7,15.48,38.3,5.7,Running,false,371
384,119.4,95.9,20.4,18.29,38.0,5.9,Running,false,371
385,154.8,98.0,21.0,12.04,38.6,6.8,Running,false,371
386,108.6,94.1,24.8,17.88,38.7,7.4,Running,false,371
387,138.5,98.7,34.8,19.51,38.2,6.5,Running,false,373
388,127.2,95.9,25.4,10.35,37.8,4.3,Walking,false,375
389,102.3,95.7,28.6,14.28,38.9,7.8,Walking,false,377
390,128.3,95.6,26.9,19.73,37.7,7.5,Running,false,379
391,153.0,95.1,20.3,14.28,38.0,6.2,Walking,false,381
392,137.3,94.7,21.9,17.80,37.6,4.7,Running,false,383
393,153.5,97.3,22.1,12.79,37.9,7.8,Walking,false,384
394,114.2,97.7,24.9,10.71,37.8,7.3,Walking,false,386
395,159.7,95.9,29.3,19.71,38.0,4.2,Walking,false,386
396,150.8,97.3,23.6,16.62,38.6,4.9,Walking,false,388
397,105.6,95.0,33.3,12.86,37.8,4.7,Running,false,388
398,107.9,96.0,24.2,17.53,38.1,4.5,Running,false,389
399,109.5,94.3,31.5,10.04,38.0,4.6,Walking,false,391
400,104.9,98.1,20.8,14.24,38.8,5.5,Running,false,392
401,136.5,96.8,23.4,12.70,37.9,6.1,Running,false,393
402,142.7,98.5,23.5,13.40,38.4,6.2,Walking,false,395
403,116.5,95.0,24.7,14.29,38.0,4.3,Walking,false,395
404,154.2,98.2,20.3,10.82,38.8,5.6,Walking,false,395
405,106.3,95.1,32.9,10.44,37.6,4.0,Running,false,397
406,110.9,94.7,32.9,16.17,38.1,5.0,Running,false,397
407,126.2,94.1,20.8,15.83,38.2,6.1,Running,false,397
408,122.0,94.5,33.0,11.33,37.6,6.3,Running,false,398
409,143.3,98.2,25.6,15.83,38.5,4.5,Running,false,399
410,148.3,97.4,30.3,17.21,38.4,5.4,Running,false,401
411,116.8,96.5,24.2,15.42,38.6,7.4,Running,false,403
412,108.8,97.3,23.6,10.30,38.3,4.9,Walking,false,404
413,124.7,96.2,27.5,18.57,38.5,5.3,Running,false,405
414,108.3,98.5,26.5,12.44,38.8,4.7,Running,false,407
